,year,country,performer,song,place_f,points_f,place_sf1,points_sf1,place_sf2,points_sf2,broadcaster,composer,writer
 poland_2006,2006, Poland, Ich Troje, Follow My Heart,,,,,,, TVP, André Franke," Michał Wiśniewski, Real McCoy, William Lennox"
 portugal_2006,2006, Portugal, Nonstop, Coisas De Nada,,,,,,, RTP," José Manuel Afonso, Elvis Veiguinha"," José Manuel Afonso, Elvis Veiguinha"
 romania_2006,2006, Romania, Mihai Traistariu, Tornero, 4, 172,,,,, TVR, Eduard Cîrcotă," Cristian Hriscu, Mihaela Deac"
 russia_2006,2006, Russia, Dima Bilan, Never Let You Go, 2, 248,,,,, C1R, Alexander Lunyev," Karen Kavaleryan, Irina Antonyan"
 slovenia_2006,2006, Slovenia, Anžej Dežan, Mr. Nobody,,,,,,, RTVSLO, Matjaž Vlašič, Urša Vlašič
 spain_2006,2006, Spain, Las Ketchup, Bloody Mary, 21, 18,,,,, TVE, Queco, Queco
 sweden_2006,2006, Sweden, Carola, Invincible, 5, 170,,,,, SVT," B. Ljunggren, T. G:son, H. Wikström"," T. G:son, Carola"
 switzerland_2006,2006, Switzerland, Six4One, If We All Give A Little, 16, 30,,,,, SSR SRG, Ralph Siegel, Bernd Meinunger
 turkey_2006,2006, Turkey, Sibel Tüzün, Superstar, 11, 91,,,,, TRT, Sibel Tüzün, Sibel Tüzün
 ukraine_2006,2006, Ukraine, Tina Karol, Show Me Your Love, 7, 145,,,,, NTU," Tina Karol, Mikhail Nekrasov", Pavel Shilko
 united kingdom_2006,2006, United Kingdom, Daz Sampson, Teenage Life, 19, 25,,,,, BBC," John Matthews, Daz Sampson"," John Matthews, Daz Sampson"
 albania_2007,2007, Albania, Aida & Frederik Ndoci, Hear My Plea,,,,,,, RTSH, Adrian Hila, Pandi Laço
 andorra_2007,2007, Andorra, Anonymous, Salvem El Món,,,,,,, RTVA, Anonymous, Anonymous
 armenia_2007,2007, Armenia, Hayko, Anytime You Need, 8, 138,,,,, AMPTV, Hayko, Karen Kavaleryan
 austria_2007,2007, Austria, Eric Papilaya, Get A Life - Get Alive,,,,,,, ORF, Greg Usek, Austin Howard
 belarus_2007,2007, Belarus, Dmitry Koldun, Work Your Magic, 6, 145,,,,, BTRC, Philip Kirkorov, Karen Kavaleryan
 belgium_2007,2007, Belgium, The KMG's, Love Power,,,,,,, RTBF, Paul Curtiz," Paul Curtiz, Sexyfire"
 bosnia & herzegovina_2007,2007, Bosnia & Herzegovina, Marija Sestic, Rijeka Bez Imena, 11, 106,,,,, BHRT, Goran Kovačić, Aleksandra Milutinović
 bulgaria_2007,2007, Bulgaria, Elitsa Todorova & Stoyan Yankulov, Water, 5, 157,,,,, BNT," Todorowa, Jankoulov", Todorowa
 croatia_2007,2007, Croatia, Dragonfly feat. Dado Topic, Vjerujem U Ljubav,,,,,,, HRT, Dado Topić, Dado Topić
 cyprus_2007,2007, Cyprus, Evridiki," Comme Ci, Comme ça",,,,,,, CyBC, Dimitris Korgialas, Poseidonas Giannopoulos
 czech republic_2007,2007, Czech Republic, Kabát, Malá Dáma,,,,,,, ČT, Kabát, Kabát
 denmark_2007,2007, Denmark, DQ, Drama Queen,,,,,,, DR," Simon Munk, P. Andersen, Claus Christensen"," Simon Munk, P. Andersen, Claus Christensen"
 estonia_2007,2007, Estonia, Gerli Padar, Partners In Crime,,,,,,, ERR, Berit Vaher, Hendrik Sal-Saller
 finland_2007,2007, Finland, Hanna Pakarinen, Leave Me Alone, 17, 53,,,,, YLE," Martti Vuorinen, Miikka Huttunen"," M. Vuorinen, H. Pakarinen"
 france_2007,2007, France, Les Fatals Picards, L'amour à La Française, 22, 19,,,,, France 3," P. Léger, Y., J. Sauvagnargues, L. Honel, I. Callot"," P. Léger, Y., J. Sauvagnargues, L. Honel, I. Callot"
 georgia_2007,2007, Georgia, Sopho, My Story, 12, 97,,,,, GPB, Beqa Jafaridze, Bibi Kvachadze
 germany_2007,2007, Germany, Roger Cicero, Frauen Regieren Die Welt, 19, 49,,,,, ARD, Matthias Hass, Frank Ramond
 greece_2007,2007, Greece, Sarbel, Yassou Maria, 7, 139,,,,, ERT," Alex Papakonstantinou, Marcus Englöf", Mack
 hungary_2007,2007, Hungary, Magdi Rúzsa, Unsubstantial Blues, 9, 128,,,,, MTV, Magdi Rúzsa, Imre Mózsik
 iceland_2007,2007, Iceland, Eiríkur Hauksson, Valentine Lost,,,,,,, RÚV, Sveinn Rúnar Sigurðsson, Peter Fenner
 ireland_2007,2007, Ireland, Dervish, They Can't Stop The Spring, 24, 5,,,,, RTÉ," John Waters, Tommy Moran"," John Waters, Tommy Moran"
 israel_2007,2007, Israel, Teapacks, Push The Button,,,,,,, IBA, Kobi Oz, Kobi Oz
 latvia_2007,2007, Latvia, Bonaparti.lv, Questa Notte, 16, 54,,,,, LTV, Kjell Jennstig," Francesca Russo, Torbjörn Wassenius, K. Jennstig"
 lithuania_2007,2007, Lithuania, 4Fun, Love Or Leave, 21, 28,,,,, LRT, Julija Ritčik, Julija Ritčik
 malta_2007,2007, Malta, Olivia Lewis, Vertigo,,,,,,, PBS, Philip Vella, Gerard James Borg
 moldova_2007,2007, Moldova, Natalia Barbu, Fight, 10, 109,,,,, TRM, Alexandru Braşoveanu, Elena Buga
 montenegro_2007,2007, Montenegro, Stevan Faddy, Ajde Kroci,,,,,,, RTCG, Slaven Knezović, Milan Perić
 netherlands_2007,2007, Netherlands, Edsilia Rombley, On Top Of The World,,,,,,, NOS, Tjeerd Oosterhuis," M. ten Hove, M. Gijzemijter, T. Oosterhuis"
 north macedonia_2007,2007, North Macedonia, Karolina, Mojot Svet, 14, 73,,,,, MKRTV, Grigor Koprov, Ognen Nedelkovski
 norway_2007,2007, Norway, Guri Schanke, Ven A Bailar Conmigo,,,,,,, NRK, Gson, Gson
 poland_2007,2007, Poland, The Jet Set, Time To Party,,,,,,, TVP, Mateusz Krezan," Kamil Varen, David Junior Serame"
 portugal_2007,2007, Portugal, Sabrina, Dança Comigo (vem Ser Feliz),,,,,,, RTP, Emanuel," Emanuel, Tó Maria Vinhas"
 romania_2007,2007, Romania, Todomondo," Liubi, Liubi, I Love You", 13, 84,,,,, TVR," Mister M, Ghedi Kamara, Vlad Creţu"," Mister M, Ghedi Kamara, Vlad Creţu"
 russia_2007,2007, Russia, Serebro, Song # 1, 3, 207,,,,, C1R, Maxim Fadeev, Daniil Babichev
 serbia_2007,2007, Serbia, Marija Šerifović, Molitva, 1, 268,,,,, RTS, Vladimir Graić, Saša Milošević Mare
 slovenia_2007,2007, Slovenia, Alenka Gotar, Cvet Z Juga, 15, 66,,,,, RTVSLO, Andrej Babić, Andrej Babić
 spain_2007,2007, Spain, NASH, I Love You Mi Vida, 20, 43,,,,, TVE," Thomas G:son, Andreas Rickstrand"," Tony S.-Ohlsson, Rebeca"
 sweden_2007,2007, Sweden, The Ark, The Worrying Kind, 18, 51,,,,, SVT, Ola Salo, Ola Salo
 switzerland_2007,2007, Switzerland, DJ BoBo, Vampires Are Alive,,,,,,, SSR SRG," DJ BoBo, Axel Breitung"," DJ BoBo, Axel Breitung"
 turkey_2007,2007, Turkey, Kenan Dogulu, Shake It Up Shekerim, 4, 163,,,,, TRT, Kenan Doğulu, Kenan Doğulu
 ukraine_2007,2007, Ukraine, Verka Serduchka, Dancing Lasha Tumbai, 2, 235,,,,, NTU, Andrei Danilko, Andrei Danilko
 united kingdom_2007,2007, United Kingdom, Scooch, Flying The Flag (for You), 22, 19,,,,, BBC," Paul Tarry, Andrew Hill, Russ Spencer, Morten Schjolin"," Paul Tarry, Andrew Hill, Russ Spencer, Morten Schjolin"
 albania_2008,2008, Albania, Olta Boka, Zemrën E Lamë Peng, 17, 55,,, 9, 67, RTSH, Adrian Hila, Pandi Laço
 andorra_2008,2008, Andorra, Gisela, Casanova,,, 16, 22,,, RTVA, Jordi Cubino, Jordi Cubino
 armenia_2008,2008, Armenia, Sirusho," Qele, Qele", 4, 199, 2, 139,,, AMPTV, H.A. Der-Hovagimian, Sirusho
 azerbaijan_2008,2008, Azerbaijan, Elnur & Samir, Day After Day, 8, 132, 6, 96,,, İctimai, Govhar Hasanzadeh, Zahra Badalbeyli
 belarus_2008,2008, Belarus, Ruslan Alehno, Hasta La Vista,,,,, 17, 27, BTRC, Taras Demchuk, Eleonora Melnik
 belgium_2008,2008, Belgium, Ishtar, O Julissi,,, 17, 16,,, VRT, Michel Vangheluwe, Michel Vangheluwe
 bosnia & herzegovina_2008,2008, Bosnia & Herzegovina, Laka, Pokušaj, 10, 110, 9, 72,,, BHRT, Elvir Lakovic Laka, Elvir Lakovic Laka
 bulgaria_2008,2008, Bulgaria, Deep Zone & Balthazar," DJ, Take Me Away",,,,, 12, 56, BNT, Dian Savov, Dian Savov
 croatia_2008,2008, Croatia, Kraljevi Ulice & 75 Cents, Romanca, 21, 44,,, 4, 112, HRT, Miran Hadži Veljković, Miran Hadži Veljković
 cyprus_2008,2008, Cyprus, Evdokia Kadi, Femme Fatale,,,,, 15, 36, CyBC, Nicos Evagelou, Vangelis Evangelou
 czech republic_2008,2008, Czech Republic, Tereza Kerndlová, Have Some Fun,,,,, 18, 9, ČT," Gordon Pogoda, Stano Simor", Gordon Pogoda
 denmark_2008,2008, Denmark, Simon Mathew, All Night Long, 15, 60,,, 3, 112, DR," Nis Bøgvad, Svend Gudiksen, Jacob Launbjerg"," Nis Bøgvad, Svend Gudiksen, Jacob Launbjerg"
 estonia_2008,2008, Estonia, Kreisiraadio, Leto Svet,,, 18, 8,,, ERR," Priit Pajusaar, Glen Pilvre, Peeter Oja, Hannes Võrno, Tarmo Leinatamm"," Priit Pajusaar, Glen Pilvre, Peeter Oja, Hannes Võrno, Tarmo Leinatamm"
 finland_2008,2008, Finland, Teräsbetoni, Missä Miehet Ratsastaa, 22, 35, 8, 79,,, YLE, J. Ahola, J. Ahola
 france_2008,2008, France, Sébastien Tellier, Divine, 19, 47,,,,, France 3, S. Tellier,"  S. Tellier, Amandine de La Richardière"
 georgia_2008,2008, Georgia, Diana Gurtskaya, Peace Will Come, 11, 83,,, 5, 107, GPB, Kim Breitburg, Karen Kavaleryan
 germany_2008,2008, Germany, No Angels, Disappear, 23, 14,,,,, NDR," Remee, Hanne Sørvaag, Thomas Troelsen"," Remee, Hanne Sørvaag, Thomas Troelsen"
 greece_2008,2008, Greece, Kalomira, Secret Combination, 3, 218, 1, 156,,, ERT, Konstantinos Pantzis, Poseidon Yannopoulos
 hungary_2008,2008, Hungary, Csézy, Candlelight,,,,, 19, 6, MTV, Viktor Rakonczai," Imre Mózsik, Jánosi"
 iceland_2008,2008, Iceland, Euroband, This Is My Life, 14, 64,,, 8, 68, RÚV, Örlygur Smári," Paul Oscar, Peter Fenner"
 ireland_2008,2008, Ireland, Dustin the Turkey, Irelande Douze Pointe,,, 15, 22,,, RTÉ," Darren Smith, Simon Fine"," D. Smith, S. Fine"
 israel_2008,2008, Israel, Boaz, The Fire In Your Eyes, 9, 124, 5, 104,,, IBA, Dana International," Dana International, Shai Kerem"
 latvia_2008,2008, Latvia, Pirates Of The Sea, Wolves Of The Sea, 12, 83,,, 6, 86, LTV," Jonas Liberg, Johan Sahlen, Claes Andreasson, Torbjorn Wassenius"," Jonas Liberg, Johan Sahlen, Claes Andreasson, Torbjorn Wassenius"
 lithuania_2008,2008, Lithuania, Jeronimas Milius, Nomads In The Night,,,,, 16, 30, LRT, Jeronimas Milius, Jeronimas Milius
 malta_2008,2008, Malta, Morena, Vodka,,,,, 14, 38, MBA, Philip Vella, Gerard James Borg
 moldova_2008,2008, Moldova, Geta Burlacu, A Century Of Love,,, 12, 36,,, TRM, Oleg Baraliuc, Viorica Demici
 montenegro_2008,2008, Montenegro, Stefan Filipović, Zauvijek Volim Te,,, 14, 23,,, RTCG, Grigor Koprov, Ognen Nedelkovski
 netherlands_2008,2008, Netherlands, Hind, Your Heart Belongs To Me,,, 13, 27,,, NOS," Hind Laroussi Tahiri, Tjeerd van Zanen, Bas van den Heuvel"," Tahiri, van Zanen"
 north macedonia_2008,2008, North Macedonia," Tamara, Vrčak & Adrijan", Let Me Love You,,,,, 11, 64, MKRTV, Rade Vrchakovski-Vrcak, Rade Vrchakovski-Vrcak
 norway_2008,2008, Norway, Maria, Hold On Be Strong, 5, 182, 4, 106,,, NRK, Mira Craig, Mira Craig
 poland_2008,2008, Poland, Isis Gee, For Life, 24, 14, 10, 42,,, TVP, Isis Gee, Isis Gee
 portugal_2008,2008, Portugal, Vânia Fernandes, Senhora Do Mar (Negras Águas), 13, 69,,, 2, 120, RTP, Andrej Babić, Carlos Coelho
 romania_2008,2008, Romania, Nico & Vlad, Pe-o Margine De Lume, 20, 45, 7, 94,,, TVR, Andrei Tudor," Andreea Andrei, Adina Şute"
 russia_2008,2008, Russia, Dima Bilan, Believe, 1, 272, 3, 135,,, RTR," Dima Bilan,  Jim Beanz"," Dima Bilan, Jim Beanz"
 san marino_2008,2008, San Marino, Miodio, Complice,,, 19, 5,,, SMRTV, Francesco Sancisi, Nicola Della Valle
 serbia_2008,2008, Serbia, Jelena Tomašević feat. Bora Dugic, Oro, 6, 160,,,,, RTS, Željko Joksimović, Dejan Ivanović
 slovenia_2008,2008, Slovenia, Rebeka Dremelj, Vrag Naj Vzame,,, 11, 36,,, RTVSLO, Josip Miani-Pipi, Amon
 spain_2008,2008, Spain, Rodolfo Chikilicuatre, Baila El Chiki Chiki, 16, 55,,,,, TVE," Rodolfo Chikilicuatre, Friends"," Rodolfo Chikilicuatre, Friends"
 sweden_2008,2008, Sweden, Charlotte Perrelli, Hero, 18, 47,,, 10, 54, SVT, Bobby Ljunggren, Fredrik Kempe
 switzerland_2008,2008, Switzerland, Paolo Meneguzzi, Era Stupendo,,,,, 13, 47, SRG SSR idée suisse, Pablo Meneguzzo, Vincenzo Incenzo
 turkey_2008,2008, Turkey, Mor ve Ötesi, Deli, 7, 138,,, 7, 85, TRT, Mor ve Ötesi, Mor ve Ötesi
 ukraine_2008,2008, Ukraine, Ani Lorak, Shady Lady, 2, 230,,, 1, 152, NTU, Philip Kirkorov, Karen Kavaleryan
 united kingdom_2008,2008, United Kingdom, Andy Abraham, Even IF, 25, 14,,,,, BBC," Andy Abraham, Andy Watkins, Paul Wilson"," Andy Abraham, Andy Watkins, Paul Wilson"
 albania_2009,2009, Albania, Kejsi Tola, Carry Me In Your Dreams, 17, 48,,, 7, 73, RTSH, Edmond Zhulali, Agim Doçi
 andorra_2009,2009, Andorra, Susanne Georgi, La Teva Decisió (Get A Life),,, 15, 8,,, RTVA," Rune Braager, Marcus Winther-John, Lene Dissing, Susanne Georgi, Pernille Georgi", Josep Roca Vila
 armenia_2009,2009, Armenia, Inga & Anush, Jan Jan, 10, 92, 5, 99,,, AMPTV, Mane Akopyan," Avet Barseghyan, Vardan Zadoyan"
 azerbaijan_2009,2009, Azerbaijan, AySel & Arash, Always, 3, 207,,, 2, 180, İctimai, Arash, Arash
 belarus_2009,2009, Belarus, Petr Elfimov, Eyes That Never Lie,,, 13, 25,,, BTRC, Pjatro Jalfimau, Valery Prokhozhy
 belgium_2009,2009, Belgium, Copycat, Copycat,,, 17, 1,,, RTBF, Miam Monster Miam, Jacques Duvall
 bosnia & herzegovina_2009,2009, Bosnia & Herzegovina, Regina, Bistra Voda, 9, 106, 3, 125,,, BHRT, Aleksandar Čović, Aleksandar Čović
 bulgaria_2009,2009, Bulgaria, Krassimir Avramov, Illusion,,, 16, 7,,, BNT," Krassimir Avramov, William Tabanou","  Krassimir Avramov, Casie Tabanou, William Tabanou"
 croatia_2009,2009, Croatia, Igor Cukrov feat. Andrea, Lijepa Tena, 18, 45,,, 13, 33, HRT, Tonči Huljić, Vjekoslava Huljić
 cyprus_2009,2009, Cyprus, Christina Metaxa, Firefly,,,,, 14, 32, CyBC, Nikolas Metaxas, Nikolas Metaxas
 czech republic_2009,2009, Czech Republic, Gipsy.cz, Aven Romale,,, 18, 0,,, ČT, Radoslav Banga, Radoslav Banga
 denmark_2009,2009, Denmark, Brinck, Believe Again, 13, 74,,, 8, 69, DR," Lars Halvor Jensen, Martin M. Larsson, Ronan Keating"," Lars Halvor Jensen, Martin M. Larsson, Ronan Keating"
 estonia_2009,2009, Estonia, Urban Symphony, Rändajad, 6, 129,,, 3, 115, ERR, Sven Lõhmus, Sven Lõhmus
 finland_2009,2009, Finland, Waldo's People, Lose Control, 25, 22, 12, 42,,, YLE, A. Lehtonen, Karima
 france_2009,2009, France, Patricia Kaas, Et S'il Fallait Le Faire, 8, 107,,,,, France 3," Anse Lazio, Fred Blondin"," Anse Lazio, Fred Blondin"
 germany_2009,2009, Germany, Alex Swings Oscar Sings!, Miss Kiss Kiss Bang, 20, 35,,,,, NDR," Alex Christensen, Steffen Häfelinger"," Alex Christensen, Steffen Häfelinger"
 greece_2009,2009, Greece, Sakis Rouvas, This Is Our Night, 7, 120,,, 4, 110, ERT, Dimitris Kontopoulos," Craig Porteils, Cameron Giles-Webb"
 hungary_2009,2009, Hungary, Zoli Ádok, Dance With Me,,,,, 15, 16, MTV, Zé Szabó, Kasai
 iceland_2009,2009, Iceland, Yohanna, Is It True?, 2, 218, 1, 174,,, RÚV," Óskar Páll Sveinsson, Chris Neil, Tinatin"," Óskar Páll Sveinsson, Chris Neil, Tinatin"
 ireland_2009,2009, Ireland, Sinéad Mulvey & Black Daisy, Et Cetera,,,,, 11, 52, RTÉ," Niall Mooney, Jonas Gladnikoff, Daniele Moretti, Christina Schilling"," Niall Mooney, Jonas Gladnikoff, Daniele Moretti, Christina Schilling"
 israel_2009,2009, Israel, Noa & Mira Awad, There Must Be Another Way, 16, 53, 7, 75,,, IBA," Noa, Mira Awad, Gil Dor"," Noa, Mira Awad, Gil Dor"
 latvia_2009,2009, Latvia, Intars Busulis, Probka,,,,, 19, 7, LTV, Kārlis Lācis," Jānis Elsbergs, Sergej Timofejev"
 lithuania_2009,2009, Lithuania, Sasha Son, Love, 23, 23,,, 9, 66, LRT, Sasha Son, Sasha Son
 malta_2009,2009, Malta, Chiara, What If We, 22, 31, 6, 86,,, PBS, Marc Paelinck, Gregory Bilsen
 moldova_2009,2009, Moldova, Nelly Ciobanu, Hora Din Moldova, 14, 69,,, 5, 106, TRM, Veaceslav Daniliu," Andrei Hadjiu, Nelly Ciobanu"
 montenegro_2009,2009, Montenegro, Andrea Demirovic, Just Get Out of My Life,,, 11, 44,,, RTCG, Ralph Siegel, Bernd Meinunger
 netherlands_2009,2009, Netherlands, The Toppers, Shine,,,,, 17, 11, NOS, Gordon Heuckeroth, Gordon Heuckeroth
 north macedonia_2009,2009, North Macedonia, Next Time, Neshto Shto Ke Ostane,,, 10, 45,,, MKRTV," Damjan Lazarov, Jovan Jovanov"," Damjan Lazarov, Jovan Jovanov"
 norway_2009,2009, Norway, Alexander Rybak, Fairytale, 1, 387,,, 1, 201, NRK, Alexander Rybak, Alexander Rybak
 poland_2009,2009, Poland, Lidia Kopania, I Don't Wanna Leave,,,,, 12, 43, TVP, Alex Geringos, Bernd Klimpel
 portugal_2009,2009, Portugal, Flor-de-lis, Todas As Ruas Do Amor, 15, 57, 8, 70,,, RTP, Pedro Marques," Paulo Pereira, Pedro Marques"
 romania_2009,2009, Romania, Elena, The Balkan Girls, 19, 40, 9, 67,,, TVR, Laurentiu Duta, Laurentiu Duta
 russia_2009,2009, Russia, Anastasia Prikhodko, Mamo, 11, 91,,,,, C1R," Konstantin Meladze, Diana Golde"," Konstantin Meladze, Diana Golde"
 serbia_2009,2009, Serbia, Marko Kon & Milaan, Cipela,,,,, 10, 60, RTS," Marko Kon, Milan Nikolić, Aleksandar Milanović Kobac", Marko Kon
 slovakia_2009,2009, Slovakia, Kamil Mikulčík & Nela Pocisková, Leť Tmou,,,,, 18, 8, STV, Rastislav Dubovský," Petronala Kolevská, Anna Žigová"
 slovenia_2009,2009, Slovenia, Quartissimo feat. Martina, Love Symphony,,,,, 16, 14, RTVSLO," Andrej Babić, Aleksandar Valenčić", Andrej Babić
 spain_2009,2009, Spain, Soraya, La Noche Es Para Mí (The Night Is For Me), 23, 23,,,,, TVE," Jason Gill, Dimitri Stassos, Irini Michas", Felipe Pedroso
 sweden_2009,2009, Sweden, Malena Ernman, La Voix, 21, 33, 4, 105,,, SVT, Fredrik Kempe, Fredrik Kempe
 switzerland_2009,2009, Switzerland, Lovebugs, The Highest Heights,,, 14, 15,,, SRG SSR idée suisse," Florian Senn, Thomas Rechberger, Adrian Sieber"," Florian Senn, Thomas Rechberger, Adrian Sieber"
 turkey_2009,2009, Turkey, Hadise, Düm Tek Tek, 4, 177, 2, 172,,, TRT," Sinan Akçıl, Hadise Acikgöz, Stefan Fernande"," Sinan Akçıl, Hadise Acikgöz, Stefan Fernande"
 ukraine_2009,2009, Ukraine, Svetlana Loboda, Be my Valentine! (Anti-crisis Girl), 12, 76,,, 6, 80, NTU, Svetlana Loboda, Jewgeni Matjuschenko
 united kingdom_2009,2009, United Kingdom, Jade Ewen, It's My Time, 5, 173,,,,, BBC," Andrew Lloyd Webber, Diane Warren"," Andrew Lloyd Webber, Diane Warren"
 albania_2010,2010, Albania, Juliana Pasha, It's All About You, 16, 62, 6, 76,,, RTSH, Ardit Gjebrea, Pirro Çako
 armenia_2010,2010, Armenia, Eva Rivas, Apricot Stone, 7, 141,,, 6, 83, AMPTV, Armen Martirosyan, Karen Kavaleryan
 azerbaijan_2010,2010, Azerbaijan, Safura, Drip Drop, 5, 145,,, 2, 113, İctimai," Anders Bagge, Stefan Örn", Sandra Bjurman
 belarus_2010,2010, Belarus, 3+2, Butterflies, 24, 18, 9, 59,,, BTRC, Maxim Fadeev, Malka Chaplin
 belgium_2010,2010, Belgium, Tom Dice, Me And My Guitar, 6, 143, 1, 167,,, VRT," Tom Dice, Jeroen Swinnen, Ashley Hicklin"," Tom Dice, Jeroen Swinnen, Ashley Hicklin"
 bosnia & herzegovina_2010,2010, Bosnia & Herzegovina, Vukašin Brajić, Thunder And Lightning, 17, 51, 8, 59,,, BHRT, Dino Šaran, Dino Šaran
 bulgaria_2010,2010, Bulgaria, Miro, Angel Si Ti,,,,, 15, 19, BNT, Miroslav Kostadinov, Miroslav Kostadinov
 croatia_2010,2010, Croatia, Feminnem, Lako Je Sve,,,,, 13, 33, HRT, Branimir Mihaljević," Neda Parmać, Pamela Ramljak"
 cyprus_2010,2010, Cyprus, Jon Lilygreen & The Islanders, Life Looks Better In Spring, 21, 27,,, 10, 67, CyBC," Nasos Lambrianides, Melis Konstantinou", Nasos Lambrianides
 denmark_2010,2010, Denmark, Chanée & N'evergreen, In A Moment Like This, 4, 149,,, 5, 101, DR," Thomas G:son, Henrik Sethsson, Erik Bernholm"," Thomas G:son, Henrik Sethsson, Erik Bernholm"
 estonia_2010,2010, Estonia, Malcolm Lincoln, Siren,,, 14, 39,,, ERR, Robin Juhkental, Robin Juhkental
 finland_2010,2010, Finland, Kuunkuiskaajat, Työlki Ellää,,, 11, 49,,, YLE, Timo Kiiskinen, Timo Kiiskinen
 france_2010,2010, France, Jessy Matador, Alllez Olla Olé, 12, 82,,,,, France 3," H. Ducamin, J. Ballue"," H. Ducamin, J. Ballue"
 georgia_2010,2010, Georgia, Sofia Nizharadze, Shine, 9, 136,,, 3, 106, GPB," Hanne Sorvaag, Harry Sommerdahl & Christian Leuzzi"," Hanne Sorvaag, Harry Sommerdahl, Christian Leuzzi"
 germany_2010,2010, Germany, Lena, Satellite, 1, 246,,,,, NDR," Julie Frost, John Gordon"," Julie Frost, John Gordon"
 greece_2010,2010, Greece, Giorgos Alkaios & Friends, OPA, 8, 140, 2, 133,,, ERT, Giorgos Alkaios, Giannis Antoniou & Friends
 iceland_2010,2010, Iceland, Hera Björk, Je Ne Sais Quoi, 19, 41, 3, 123,,, RÚV," Örlygur Smári, Hera Björk"," Örlygur Smári, Hera Björk"
 ireland_2010,2010, Ireland, Niamh Kavanagh, It's For You, 23, 25,,, 9, 67, RTÉ," Niall Mooney, Mårten Eriksson, Jonas Gladnikoff, Lina Eriksson"," Niall Mooney, Mårten Eriksson, Jonas Gladnikoff, Lina Eriksson"
 israel_2010,2010, Israel, Harel Skaat, Milim, 14, 71,,, 8, 71, IBA, Tomer Adaddi, Noam Horev
 latvia_2010,2010, Latvia, Aisha, What For?,,, 17, 11,,, LTV, Janis Lusens, Guntars Racs
 lithuania_2010,2010, Lithuania, InCulto, East European Funk,,,,, 12, 44, LRT, InCulto, InCulto
 malta_2010,2010, Malta, Thea Garrett, My Dream,,, 12, 45,,, PBS, Jason Cassar, Sunny Aquilina
 moldova_2010,2010, Moldova, Sunstroke Project & Olia Tira, Run Away, 22, 27, 10, 52,,, TRM," Anton Ragoza, Sergey Stepanov", Alina Galetskaya
 netherlands_2010,2010, Netherlands, Sieneke, Ik Ben Verliefd (Sha-la-lie),,,,, 14, 29, TROS, Pierre Kartner, Pierre Kartner
 north macedonia_2010,2010, North Macedonia, Gjoko Taneski, Jas Ja Imam Silata,,, 15, 37,,, MKRTV, Kristijan Gabroski, Kristijan Gabroski
 norway_2010,2010, Norway, Didrik Solli-Tangen, My Heart Is Yours, 20, 35,,,,, NRK," Hanne Sørvaag, Fredrik Kempe"," Hanne Sørvaag, Fredrik Kempe"
 poland_2010,2010, Poland, Marcin Mroziński, Legenda,,, 13, 44,,, TVP, Marcin Nierubiec, Marcin Mroziński
 portugal_2010,2010, Portugal, Filipa Azevedo, Há Dias Assim, 18, 43, 4, 89,,, RTP, Augusto Madureira, Augusto Madureira
 romania_2010,2010, Romania, Paula Seling & Ovi, Playing With Fire, 3, 162,,, 4, 104, TVR, Ovidiu Cernăuțeanu, Ovidiu Cernăuțeanu
 russia_2010,2010, Russia, Peter Nalitch & Friends, Lost And Forgotten, 11, 90, 7, 74,,, RTR, Peter Nalitch, Peter Nalitch
 serbia_2010,2010, Serbia, Milan Stanković, Ovo Je Balkan, 13, 72, 5, 79,,, RTS, Goran Bregović," Goran Bregović, Marina Tucaković, Ljiljana Jorgovanović"
 slovakia_2010,2010, Slovakia, Kristina Pelakova, Horehronie,,, 16, 24,,, STV, Martin Kavulic, Kamil Peteraj
 slovenia_2010,2010, Slovenia, Ansambel Žlindra & Kalamari, Narodnozabavni Rock,,,,, 16, 6, RTVSLO, Marino Legovič, Leon Oblak
 spain_2010,2010, Spain, Daniel Diges, Algo Pequeñito, 15, 68,,,,, TVE," Jesús Cañadilla, Alberto Collado, Daniel Diges, Luis Miguel de la Varga"," Jesús Cañadilla, Alberto Collado, Daniel Diges, Luis Miguel de la Varga"
